"emp_no","dept_no","first_name","last_name","birth_date","from_date","to_date","title_name"
17988,"d004","Mabhin","Calkin","1965-01-31","1989-11-30","9999-01-01","Senior Engineer"
18021,"d005","Adil","Matzke","1965-01-07","1987-05-08","9999-01-01","Senior Engineer"
18424,"d005","Filipp","Rousseau","1965-01-19","1995-06-07","9999-01-01","Senior Engineer"
18583,"d009","Stafford","Honglei","1965-01-03","1998-08-16","9999-01-01","Staff"
18617,"d003","Surveyors","Crouzet","1965-01-21","1989-04-24","9999-01-01","Senior Staff"
18810,"d005","Taiji","Jarecki","1965-01-09","1991-06-27","9999-01-01","Senior Engineer"
19236,"d004","Elzbieta","Morris","1965-01-24","1988-07-12","9999-01-01","Senior Engineer"
19350,"d009","Satoru","Yoshizawa","1965-01-19","1994-03-27","9999-01-01","Senior Staff"
19803,"d005","Ziva","Kowalchuk","1965-01-30","1987-06-13","9999-01-01","Senior Engineer"
20100,"d001","Utz","Heuter","1965-01-18","1986-06-15","9999-01-01","Senior Staff"
20128,"d009","Kazunori","Peak","1965-01-23","1999-08-13","9999-01-01","Senior Staff"
20129,"d004","Rafael","Skafidas","1965-01-10","1991-03-28","9999-01-01","Senior Engineer"
20248,"d009","Vidar","Demri","1965-01-12","1999-12-31","9999-01-01","Staff"
20313,"d004","Candida","Benveniste","1965-01-24","1999-01-20","9999-01-01","Engineer"
20500,"d009","Christoph","Trystram","1965-01-30","1993-10-15","9999-01-01","Senior Staff"
20885,"d004","Otmar","Rothenberg","1965-01-21","1989-03-14","9999-01-01","Senior Engineer"
21181,"d004","Jianhui","Cangellaris","1965-01-21","1991-10-06","9999-01-01","Engineer"
21188,"d005","Piyush","Danecki","1965-01-21","2000-01-08","9999-01-01","Engineer"
21546,"d001","Yongmin","Lanteri","1965-01-01","2002-03-19","9999-01-01","Senior Staff"
21843,"d005","Karsten","Azadmanesh","1965-01-09","1985-11-29","9999-01-01","Senior Engineer"
21909,"d007","Mohammed","Brizzi","1965-01-04","1991-12-28","9999-01-01","Senior Staff"
22185,"d004","Huai","Birch","1965-01-29","2002-06-12","9999-01-01","Engineer"
22415,"d007","Perla","Jumpertz","1965-01-20","1994-08-24","9999-01-01","Senior Staff"
22451,"d005","Jasminko","Bresenham","1965-01-27","1994-01-19","9999-01-01","Senior Staff"
22455,"d001","Barry","Unno","1965-01-06","1990-11-16","9999-01-01","Senior Staff"
22926,"d004","Manibrata","Genther","1965-01-01","1988-01-15","9999-01-01","Senior Engineer"
23396,"d004","Hilari","Fairtlough","1965-01-02","1986-12-15","9999-01-01","Technique Leader"
24080,"d005","Jaana","Perez","1965-01-26","1996-03-11","9999-01-01","Technique Leader"
24205,"d005","Roddy","Rubsam","1965-01-25","1993-09-19","9999-01-01","Senior Engineer"
24377,"d006","Lubomir","Wroclawski","1965-01-25","1993-07-25","9999-01-01","Senior Engineer"
24394,"d007","Zhonghui","Conta","1965-01-04","1994-09-10","9999-01-01","Staff"
24553,"d007","Anwar","Passafiume","1965-01-12","1987-01-30","9999-01-01","Senior Staff"
24571,"d004","Cordelia","Gischer","1965-01-20","1989-03-14","9999-01-01","Senior Engineer"
25488,"d008","Ingmar","Basawa","1965-01-19","1991-11-09","9999-01-01","Senior Staff"
26629,"d008","Nevin","Rodham","1965-01-28","1998-12-14","9999-01-01","Senior Staff"
26671,"d005","Jiakeng","Kalorkoti","1965-01-21","1994-12-25","9999-01-01","Senior Engineer"
26788,"d005","Zongyan","Dalphin","1965-01-25","1988-04-23","9999-01-01","Senior Engineer"
27331,"d009","Wanqing","Krohm","1965-01-19","1991-01-22","9999-01-01","Senior Staff"
27378,"d002","Piyawadee","Leppanen","1965-01-28","1999-02-25","9999-01-01","Senior Staff"
27620,"d004","Shuji","Kandlur","1965-01-25","1990-03-02","9999-01-01","Senior Engineer"
27686,"d007","Manu","Rosiles","1965-01-28","1998-03-03","9999-01-01","Senior Staff"
27699,"d004","Falguni","Pezzoli","1965-01-15","1996-12-23","9999-01-01","Engineer"
27767,"d009","Tooru","Veldwijk","1965-01-27","1993-11-21","9999-01-01","Senior Staff"
28193,"d005","Xinglin","Mitsuhashi","1965-01-29","1988-12-14","9999-01-01","Senior Engineer"
28974,"d005","Chenxi","Sundgren","1965-01-09","1986-09-02","9999-01-01","Senior Engineer"
28988,"d004","Tua","Giveon","1965-01-18","1998-09-09","9999-01-01","Technique Leader"
29130,"d001","Xumin","Thorensen","1965-01-06","1998-04-26","9999-01-01","Staff"
29265,"d009","Gilbert","Calkin","1965-01-14","1988-03-21","9999-01-01","Senior Staff"
29380,"d004","Satoru","Vidal","1965-01-30","1998-05-02","9999-01-01","Assistant Engineer"
29418,"d004","Valery","Mersereau","1965-01-22","1998-07-01","9999-01-01","Assistant Engineer"
29679,"d005","Kolar","Steenbeek","1965-01-17","1986-10-18","9999-01-01","Senior Engineer"
29782,"d004","Jouko","Hellwagner","1965-01-29","2000-10-23","9999-01-01","Senior Engineer"
29954,"d004","Pranay","Giarratana","1965-01-27","1992-09-29","9999-01-01","Senior Engineer"
30007,"d004","Kousuke","Vecchio","1965-01-24","1990-02-23","9999-01-01","Senior Engineer"
30035,"d008","Tetsushi","Conta","1965-01-08","1995-07-04","9999-01-01","Senior Staff"
30154,"d005","Mayuko","Skafidas","1965-01-26","1999-04-19","9999-01-01","Technique Leader"
30182,"d005","Leon","Potthoff","1965-01-26","1985-12-08","9999-01-01","Senior Engineer"
30465,"d005","Randi","Avouris","1965-01-28","1986-07-16","9999-01-01","Senior Engineer"
30484,"d007","Sailaja","Chvatal","1965-01-11","1999-05-18","9999-01-01","Staff"
30695,"d005","Gudjon","Majewski","1965-01-08","1999-10-26","9999-01-01","Senior Engineer"
30938,"d001","Yakkov","Samarati","1965-01-06","1997-10-10","9999-01-01","Senior Staff"
31147,"d002","Divine","Sidhu","1965-01-04","1989-07-05","9999-01-01","Senior Staff"
31188,"d004","Leandro","Gist","1965-01-12","1993-02-03","9999-01-01","Technique Leader"
31207,"d004","Abdelwaheb","Dulin","1965-01-30","1993-08-05","9999-01-01","Senior Engineer"
31341,"d002","Oksana","Zultner","1965-01-01","1991-03-23","9999-01-01","Senior Staff"
31514,"d005","Harngdar","Schapire","1965-01-13","1996-11-09","9999-01-01","Senior Engineer"
31568,"d001","Mark","Lalonde","1965-01-10","1996-11-24","9999-01-01","Staff"
31909,"d004","Murthy","Peek","1965-01-10","2000-10-30","9999-01-01","Engineer"
32347,"d001","Terresa","Peres","1965-01-08","1990-09-15","9999-01-01","Senior Staff"
32552,"d005","Atreye","Stanger","1965-01-17","1993-09-10","9999-01-01","Engineer"
32649,"d008","Ingmar","Nannarelli","1965-01-12","1988-06-10","9999-01-01","Senior Staff"
32714,"d001","Radoslaw","Maliniak","1965-01-16","2001-09-18","9999-01-01","Staff"
32844,"d005","Tadahiko","Melton","1965-01-23","1995-01-07","9999-01-01","Engineer"
33025,"d009","Jessie","Thorelli","1965-01-12","1999-12-16","9999-01-01","Senior Staff"
33215,"d004","Steen","Fasbender","1965-01-29","1993-02-14","9999-01-01","Technique Leader"
33722,"d008","Anwar","Collette","1965-01-15","2001-02-03","9999-01-01","Senior Engineer"
34077,"d007","Angel","Sichman","1965-01-08","1988-11-16","9999-01-01","Senior Staff"
34261,"d003","Kyoichi","Callaway","1965-01-05","1990-12-30","9999-01-01","Senior Staff"
34446,"d005","Chinhyun","Bauknecht","1965-01-31","1986-12-19","9999-01-01","Senior Engineer"
34452,"d004","Naftaly","Foong","1965-01-08","1991-05-10","9999-01-01","Senior Engineer"
34505,"d007","Felicidad","Kumaresan","1965-01-28","1994-09-06","9999-01-01","Senior Staff"
34533,"d006","Erzsebet","Shigei","1965-01-10","1995-01-16","9999-01-01","Senior Engineer"
34780,"d007","Moni","Kohling","1965-01-16","2001-09-18","9999-01-01","Staff"
34788,"d004","Ennio","Babu","1965-01-27","1994-08-31","9999-01-01","Senior Engineer"
34936,"d004","Bokyung","Stamatiou","1965-01-12","1991-02-12","9999-01-01","Technique Leader"
35044,"d004","Jiang","Waschkowski","1965-01-04","1989-05-27","9999-01-01","Senior Engineer"
35087,"d009","Leif","Ashish","1965-01-17","1994-10-14","9999-01-01","Senior Staff"
35441,"d008","Chandrasekaran","Peek","1965-01-31","1990-09-17","9999-01-01","Senior Engineer"
35642,"d006","Ashish","Talmon","1965-01-30","1999-02-28","9999-01-01","Senior Engineer"
35793,"d009","Oscar","Kusalik","1965-01-01","1991-05-11","9999-01-01","Senior Staff"
35798,"d005","Ulf","Oberman","1965-01-29","1997-03-15","9999-01-01","Senior Engineer"
36521,"d002","Serif","Gladwell","1965-01-21","1987-03-06","9999-01-01","Senior Staff"
36626,"d007","Fen","Genin","1965-01-02","1986-05-09","9999-01-01","Senior Staff"
36733,"d009","Uma","Reinhard","1965-01-04","1997-11-01","9999-01-01","Staff"
36844,"d009","Hailing","Levergood","1965-01-01","2000-01-12","9999-01-01","Staff"
36982,"d006","Kotesh","Rajala","1965-01-22","1992-06-23","9999-01-01","Senior Engineer"
37070,"d009","Jeong","Undy","1965-01-22","1985-02-13","9999-01-01","Senior Staff"
37945,"d005","Suzette","Butterworth","1965-01-02","1994-02-19","9999-01-01","Senior Engineer"
38043,"d005","Michaela","Randi","1965-01-05","1985-11-23","9999-01-01","Senior Engineer"
38103,"d004","Masasuke","Babu","1965-01-12","1988-03-31","9999-01-01","Senior Engineer"
38168,"d007","Fumiko","Deverell","1965-01-14","1987-08-15","9999-01-01","Senior Staff"
38550,"d006","JoAnne","Baez","1965-01-14","1987-02-16","9999-01-01","Senior Engineer"
38593,"d004","Huei","Orsini","1965-01-14","1986-06-04","9999-01-01","Senior Engineer"
38947,"d001","Shuichi","Ruemmler","1965-01-25","1998-04-08","9999-01-01","Senior Staff"
39000,"d008","Martijn","Vendrig","1965-01-08","1997-03-03","9999-01-01","Senior Staff"
39036,"d003","Changho","Cappelli","1965-01-08","1996-05-04","9999-01-01","Staff"
39301,"d008","Rimon","Kawashima","1965-01-07","1992-02-06","9999-01-01","Senior Staff"
39341,"d004","Mahmut","Lampe","1965-01-01","1985-05-11","9999-01-01","Senior Engineer"
39952,"d007","Otmar","Sudbeck","1965-01-02","1998-07-22","9999-01-01","Staff"
40269,"d007","Toshiki","Ghazalie","1965-01-10","1991-12-05","9999-01-01","Senior Staff"
40283,"d005","Sudhanshu","Boissier","1965-01-07","1985-05-11","9999-01-01","Senior Engineer"
40301,"d009","Spyrose","Felder","1965-01-20","1997-10-20","9999-01-01","Senior Engineer"
40536,"d005","Harngdar","Bernardinello","1965-01-20","1988-02-29","9999-01-01","Senior Engineer"
40765,"d008","Michaela","Ramsak","1965-01-01","1992-12-21","9999-01-01","Senior Staff"
40773,"d009","Shimshon","Aingworth","1965-01-09","1986-04-13","9999-01-01","Senior Staff"
40983,"d005","Marla","Cherinka","1965-01-17","1986-12-01","9999-01-01","Technique Leader"
41114,"d004","Petter","Thummel","1965-01-25","1995-12-24","9999-01-01","Technique Leader"
41137,"d009","Bikash","Buchter","1965-01-20","1996-01-08","9999-01-01","Senior Staff"
41357,"d005","Willard","Vernadat","1965-01-06","1997-03-04","9999-01-01","Engineer"
41518,"d004","Keung","Schapiro","1965-01-11","2001-02-08","9999-01-01","Senior Engineer"
41520,"d005","Xiong","Uhrik","1965-01-20","1988-03-21","9999-01-01","Senior Engineer"
41609,"d007","Yucai","Simmen","1965-01-04","1987-10-13","9999-01-01","Senior Staff"
42778,"d003","Shuji","Remmers","1965-01-19","1987-12-18","9999-01-01","Senior Staff"
42911,"d004","Brigham","Eterovic","1965-01-29","1994-10-08","9999-01-01","Senior Engineer"
42950,"d008","Shaleah","Eickenmeyer","1965-01-22","1993-10-09","9999-01-01","Senior Staff"
42955,"d006","Yucel","Lortz","1965-01-12","1995-02-21","9999-01-01","Engineer"
43154,"d002","Maha","Waterhouse","1965-01-13","1997-07-04","9999-01-01","Senior Staff"
43733,"d003","Huei","Boguraev","1965-01-26","1993-12-31","9999-01-01","Senior Staff"
43848,"d004","Phillip","Oxenboll","1965-01-11","1999-05-26","9999-01-01","Engineer"
44054,"d005","Alenka","Ritcey","1965-01-18","1997-02-09","9999-01-01","Engineer"
44265,"d005","Maria","Eppinger","1965-01-24","1997-01-30","9999-01-01","Engineer"
44540,"d005","Mingzeng","Sadowski","1965-01-16","1989-11-12","9999-01-01","Senior Engineer"
44900,"d001","Mark","Schwaller","1965-01-05","1994-08-10","9999-01-01","Senior Staff"
44959,"d004","Volkmar","Uhrik","1965-01-21","1988-01-16","9999-01-01","Senior Engineer"
44962,"d005","Sariel","Wynblatt","1965-01-16","1996-05-18","9999-01-01","Assistant Engineer"
45162,"d005","Dulce","Speel","1965-01-11","1987-10-19","9999-01-01","Senior Engineer"
46000,"d009","Zhaofang","Penn","1965-01-26","1997-07-24","9999-01-01","Senior Staff"
46328,"d007","Wuxu","Trogemann","1965-01-05","1997-01-27","9999-01-01","Senior Staff"
46811,"d004","Junsik","Berendt","1965-01-10","1988-04-27","9999-01-01","Senior Engineer"
46834,"d007","Tooru","Daescu","1965-01-22","1998-03-20","9999-01-01","Senior Staff"
46943,"d005","Pasqua","Maraist","1965-01-31","1993-12-06","9999-01-01","Senior Engineer"
47016,"d009","Toong","Litecky","1965-01-03","1989-03-01","9999-01-01","Senior Staff"
47139,"d005","Marco","Usdin","1965-01-25","1996-10-29","9999-01-01","Engineer"
47262,"d005","Gonzalo","Binkley","1965-01-10","1985-08-16","9999-01-01","Senior Engineer"
47515,"d005","Naraig","Jenevein","1965-01-26","1987-01-18","9999-01-01","Senior Engineer"
47702,"d007","Juyoung","Vieri","1965-01-21","1991-08-12","9999-01-01","Senior Staff"
47708,"d001","Edwin","Haldar","1965-01-05","1995-07-12","9999-01-01","Senior Staff"
48275,"d007","Sariel","Massonet","1965-01-29","1987-11-20","9999-01-01","Senior Staff"
48690,"d003","Hitomi","Schaap","1965-01-12","1999-09-27","9999-01-01","Staff"
48882,"d004","Leen","Lamparter","1965-01-28","1993-06-07","9999-01-01","Senior Engineer"
48904,"d002","Yuichiro","Malabarba","1965-01-23","1994-03-07","9999-01-01","Senior Staff"
48947,"d007","Filipp","Akaboshi","1965-01-05","1992-05-20","9999-01-01","Senior Staff"
49010,"d001","Kazuhisa","Benantar","1965-01-16","1990-03-30","9999-01-01","Senior Staff"
49017,"d005","Filipp","Flanders","1965-01-07","1990-11-26","9999-01-01","Senior Engineer"
49119,"d004","Lena","Peek","1965-01-09","1991-05-16","9999-01-01","Senior Engineer"
49177,"d004","Tze","Bach","1965-01-03","1999-03-09","9999-01-01","Engineer"
49464,"d007","Siddarth","Cappelletti","1965-01-14","1999-09-10","9999-01-01","Staff"
49477,"d003","Baocai","Leaver","1965-01-14","1998-08-05","9999-01-01","Senior Staff"
50293,"d004","Xinan","Rindone","1965-01-26","1996-10-08","9999-01-01","Engineer"
50311,"d006","Mooi","Stafford","1965-01-24","1996-10-06","9999-01-01","Senior Engineer"
50453,"d002","Aron","Harbusch","1965-01-12","1997-10-02","9999-01-01","Staff"
50670,"d001","Boguslaw","Snedden","1965-01-30","1985-02-20","9999-01-01","Senior Staff"
50831,"d004","Marie","Khalid","1965-01-06","1996-06-11","9999-01-01","Senior Engineer"
51036,"d007","Chriss","Fasbender","1965-01-29","1995-05-23","9999-01-01","Staff"
51057,"d001","Theirry","Albarhamtoshy","1965-01-29","1991-09-27","9999-01-01","Senior Staff"
51060,"d005","Youngkon","Rohrbach","1965-01-15","1989-10-20","9999-01-01","Senior Engineer"
51142,"d005","Rosine","Lakshmanan","1965-01-29","1986-01-31","9999-01-01","Senior Engineer"
52038,"d004","Chikako","Armand","1965-01-13","1985-05-18","9999-01-01","Senior Engineer"
52040,"d005","Phule","Heijenga","1965-01-14","1996-12-08","9999-01-01","Senior Staff"
52283,"d008","Trygve","Krupka","1965-01-20","1994-03-11","9999-01-01","Senior Staff"
52386,"d007","Adas","Denti","1965-01-28","1986-05-30","9999-01-01","Senior Staff"
52590,"d005","Jouni","Munoz","1965-01-21","1996-10-07","9999-01-01","Senior Staff"
52599,"d009","Augustine","Mungall","1965-01-25","1994-01-13","9999-01-01","Senior Engineer"
52639,"d007","Arup","Colorni","1965-01-09","1996-02-05","9999-01-01","Senior Staff"
52770,"d007","Shugo","Yurek","1965-01-31","1992-08-28","9999-01-01","Senior Staff"
52778,"d006","Alain","Penn","1965-01-15","1986-05-03","9999-01-01","Technique Leader"
52956,"d006","Khalil","Picci","1965-01-31","1998-11-24","9999-01-01","Senior Engineer"
52970,"d004","Lobel","Werthner","1965-01-22","1988-03-17","9999-01-01","Senior Engineer"
53278,"d007","Premsyl","Lortz","1965-01-31","1993-02-01","9999-01-01","Senior Staff"
53314,"d008","Eberhardt","Carrera","1965-01-06","1999-02-23","9999-01-01","Staff"
53431,"d009","Sham","Vasanthakumar","1965-01-12","1993-05-24","9999-01-01","Senior Staff"
53499,"d004","Zdislav","Mandelberg","1965-01-20","1994-09-11","9999-01-01","Senior Engineer"
53597,"d005","Jiafu","Marchegay","1965-01-30","1985-03-02","9999-01-01","Senior Engineer"
53874,"d001","Bodo","Schade","1965-01-23","1986-02-14","9999-01-01","Senior Staff"
53924,"d004","Arnould","Gaughan","1965-01-27","1991-01-23","9999-01-01","Senior Engineer"
54198,"d005","Shaowen","Segond","1965-01-01","1986-01-06","9999-01-01","Senior Engineer"
54632,"d002","Etsuo","Serot","1965-01-19","1989-06-14","9999-01-01","Senior Staff"
54795,"d004","Sumant","Nergos","1965-01-29","1994-03-02","9999-01-01","Senior Staff"
54800,"d007","Breannda","Cangellaris","1965-01-13","2000-01-27","9999-01-01","Staff"
55640,"d004","Adit","Syrotiuk","1965-01-25","1993-07-16","9999-01-01","Senior Engineer"
55687,"d005","Shih","Lindqvist","1965-01-02","1995-03-29","9999-01-01","Senior Engineer"
55799,"d004","Jianwen","Litzler","1965-01-23","1987-06-17","9999-01-01","Senior Engineer"
55857,"d007","Adin","Scallan","1965-01-18","1987-09-15","9999-01-01","Senior Staff"
56105,"d005","Makato","Remmers","1965-01-11","1989-04-16","9999-01-01","Senior Engineer"
56209,"d004","Remzi","Douceur","1965-01-19","1992-12-01","9999-01-01","Senior Engineer"
56415,"d002","Sigeru","Nivat","1965-01-30","1991-10-24","9999-01-01","Senior Staff"
56428,"d007","Olivera","Hanabata","1965-01-27","1986-11-10","9999-01-01","Senior Staff"
56682,"d005","Roded","Picco","1965-01-28","1993-11-06","9999-01-01","Assistant Engineer"
56829,"d006","Nagui","Gruenwald","1965-01-09","1997-06-14","9999-01-01","Engineer"
56847,"d006","Menkae","Chinin","1965-01-14","1998-08-27","9999-01-01","Senior Engineer"
57934,"d005","Sanjoy","Boudaillier","1965-01-25","1989-12-27","9999-01-01","Senior Engineer"
58141,"d002","Bezalel","Karner","1965-01-05","1994-09-27","9999-01-01","Staff"
58147,"d001","Shigenori","Sullins","1965-01-09","1988-02-24","9999-01-01","Senior Staff"
58384,"d005","Mariusz","Vural","1965-01-22","1993-11-14","9999-01-01","Senior Engineer"
58454,"d004","Ziya","Zambonelli","1965-01-25","1999-06-29","9999-01-01","Engineer"
58497,"d001","Yechiam","Cairo","1965-01-22","2000-10-21","9999-01-01","Senior Staff"
58819,"d007","Gennady","Liesche","1965-01-04","1987-12-02","9999-01-01","Senior Staff"
58990,"d005","Palash","Trelles","1965-01-04","1998-11-18","9999-01-01","Engineer"
59195,"d005","Ronnie","Pollock","1965-01-08","1990-06-19","9999-01-01","Technique Leader"
59640,"d002","Zita","Hiltgen","1965-01-18","1999-01-26","9999-01-01","Staff"
59869,"d001","Zsolt","Riefers","1965-02-01","1987-09-25","9999-01-01","Senior Staff"
59966,"d004","Steen","Salvesen","1965-01-28","1993-02-03","9999-01-01","Technique Leader"
60000,"d005","Heekeun","Emmart","1965-01-16","1995-09-23","9999-01-01","Engineer"
60091,"d009","Surveyors","Bade","1965-02-01","1990-04-11","9999-01-01","Senior Staff"
60238,"d001","Erzsebet","Claffy","1965-01-23","1999-02-19","9999-01-01","Staff"
60559,"d004","Jeanna","Stemann","1965-01-19","1988-08-29","9999-01-01","Senior Engineer"
60821,"d003","Moty","Mersereau","1965-01-02","1991-09-03","9999-01-01","Senior Staff"
60845,"d004","Bedir","Siegrist","1965-01-14","1997-05-13","9999-01-01","Engineer"
60875,"d006","Rildo","Masaki","1965-01-21","1990-01-14","9999-01-01","Senior Engineer"
60959,"d001","Tetsushi","Sridhar","1965-01-09","1989-10-19","9999-01-01","Senior Staff"
61147,"d001","Leszek","Werthner","1965-01-30","1999-03-03","9999-01-01","Staff"
61253,"d008","Cheong","Uhrik","1965-01-09","2002-05-09","9999-01-01","Senior Engineer"
61377,"d004","Dannz","Ohori","1965-01-01","1997-04-13","9999-01-01","Senior Staff"
61541,"d005","Kasidit","Papsdorf","1965-01-08","1993-08-17","9999-01-01","Senior Engineer"
61873,"d006","Woody","Rusmann","1965-01-19","1993-02-26","9999-01-01","Engineer"
62033,"d004","Heeju","Cappelli","1965-01-24","1987-01-15","9999-01-01","Senior Engineer"
62046,"d004","Karlis","Nanard","1965-01-31","1992-09-19","9999-01-01","Senior Engineer"
62245,"d005","Adel","Bressoud","1965-01-01","1995-08-30","9999-01-01","Engineer"
63294,"d004","Tetsushi","Tanemo","1965-01-23","1997-03-01","9999-01-01","Senior Engineer"
63419,"d004","Hiroyasu","Seuren","1965-01-14","1989-03-05","9999-01-01","Senior Engineer"
63441,"d003","Hinrich","Scallan","1965-01-15","1999-04-04","9999-01-01","Staff"
63566,"d007","Heekeun","Slaats","1965-01-31","1999-01-12","9999-01-01","Senior Staff"
63631,"d009","Falguni","Cherinka","1965-01-22","1987-10-15","9999-01-01","Senior Engineer"
63706,"d005","Sedat","Itzigehl","1965-01-26","1997-07-31","9999-01-01","Engineer"
64023,"d005","Laurentiu","Benzmuller","1965-01-11","1999-11-08","9999-01-01","Senior Engineer"
64209,"d009","Golgen","Schoegge","1965-01-24","1988-02-26","9999-01-01","Senior Staff"
64487,"d006","Tsutomu","Rebaine","1965-01-27","1986-09-17","9999-01-01","Senior Engineer"
64532,"d004","Atilio","Segond","1965-01-23","1990-11-29","9999-01-01","Senior Engineer"
64632,"d007","Zsolt","Brender","1965-01-07","1996-02-21","9999-01-01","Senior Staff"
64790,"d005","Shin","Piveteau","1965-01-29","1985-04-19","9999-01-01","Senior Engineer"
64828,"d007","Krister","Pappas","1965-01-27","1999-09-30","9999-01-01","Staff"
64984,"d006","Eldridge","Eldridge","1965-01-06","1994-08-04","9999-01-01","Senior Engineer"
65171,"d004","Jeane","Tasistro","1965-01-25","1994-07-06","9999-01-01","Technique Leader"
65539,"d005","Aksel","Picaronny","1965-01-23","1991-01-27","9999-01-01","Senior Engineer"
65883,"d007","Patricia","Pepe","1965-01-07","1991-04-19","9999-01-01","Senior Staff"
65998,"d007","Mandell","Alameldin","1965-01-09","1989-04-08","9999-01-01","Senior Staff"
66382,"d004","Domenico","Candan","1965-01-04","1997-07-13","9999-01-01","Engineer"
66530,"d008","Dung","Leaver","1965-01-29","1998-04-04","9999-01-01","Staff"
66643,"d004","Jianhao","Tomescu","1965-01-18","1996-08-26","9999-01-01","Engineer"
66702,"d005","Deniz","Thibadeau","1965-02-01","1994-09-27","9999-01-01","Senior Engineer"
66757,"d001","Yonghong","Baig","1965-01-16","1999-04-10","9999-01-01","Staff"
66807,"d005","Aiman","Rosaz","1965-01-21","1990-05-22","9999-01-01","Senior Engineer"
67320,"d001","Sadok","Lorys","1965-01-18","1987-05-10","9999-01-01","Senior Staff"
67548,"d003","Fumitaka","Roohalamini","1965-01-11","1998-06-27","9999-01-01","Staff"
67934,"d004","Aiman","Gargeya","1965-01-07","1985-03-07","9999-01-01","Senior Engineer"
68416,"d004","Munenori","Debuse","1965-01-27","1990-11-08","9999-01-01","Senior Engineer"
68608,"d004","Yucai","Seghrouchni","1965-01-26","1989-06-09","9999-01-01","Senior Engineer"
68633,"d004","Chinhyun","Rassart","1965-01-28","1993-07-29","9999-01-01","Senior Engineer"
68648,"d005","Jaques","DiGiano","1965-01-25","1992-04-01","9999-01-01","Technique Leader"
69052,"d007","Shietung","Shrader","1965-01-26","1995-08-05","9999-01-01","Senior Staff"
69219,"d001","Shuky","Redmiles","1965-01-09","1994-11-19","9999-01-01","Senior Staff"
69867,"d007","Miyeon","Rothe","1965-01-22","1991-04-09","9999-01-01","Senior Staff"
69878,"d005","Chinya","Cooke","1965-01-24","1997-01-29","9999-01-01","Engineer"
69936,"d004","Lalit","Unni","1965-01-23","1999-01-31","9999-01-01","Assistant Engineer"
70469,"d001","Tru","Miyakawa","1965-01-12","1990-09-03","9999-01-01","Senior Staff"
70990,"d004","Arumugam","Nitta","1965-01-22","1990-03-23","9999-01-01","Senior Engineer"
71066,"d007","Domenick","Basart","1965-01-27","1996-01-05","9999-01-01","Senior Staff"
71141,"d003","Sajjad","Vitiello","1965-01-02","1992-02-17","9999-01-01","Senior Staff"
71188,"d007","Pranjal","Schapiro","1965-01-02","1986-12-14","9999-01-01","Senior Staff"
